start_date,event_type,venue,latitude,longitude
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2021-12-31T17:00-0800,music,The Midway,37.7494472,-122.3860183
2022-01-01T04:00-0800,music,The Great Northern,37.7674263,-122.4062869
2022-01-01T21:00-0800,music,The Independent,37.7755362,-122.4376556
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-01T22:00-0800,music,The Midway,37.7494472,-122.3860183
2022-01-01T22:00-0800,j-parties,1015 Folsom,37.7781117,-122.4058001
2021-11-26T18:00-0800,xperiences,Plaza de Cesar Chavez,37.3327794,-121.8892745
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-01T11:00-0800,xperiences,Ocean Beach,37.7711664,-122.5111395
2022-01-01T22:00-0800,music,Temple,37.7879716,-122.3972152
2022-01-01T19:30-0800,music,SFJAZZ Center,37.7764466,-122.4215079
2022-01-01T22:00-0800,music,DNA Lounge,37.7711031,-122.4126145
2022-01-01T22:00-0800,music,August Hall,37.7875878,-122.4096056
2022-01-01T20:00-0800,music,The Regency Ballroom,37.7879104,-122.4215079
2022-01-01T10:00-0800,music,Rio Nido Roadhouse,38.5204891,-122.9785507
2022-01-01T19:30-0800,music,Cornerstone,37.8663423,-122.2671777
2022-01-01T21:30-0800,music,Audio SF,37.771391,-122.413852
2022-01-01T22:00-0800,music,HALCYON SF,37.771465,-122.4139198
2021-12-31T17:00-0800,utdoor-recreation,All over the Bay Area,37.7749295,-122.4194155
2022-01-01T20:00-0800,medy,Cobb's Comedy Club,37.802989,-122.4143902
2022-01-01T20:00-0800,medy,Punch Line San Francisco,37.795486,-122.4001359
2022-01-01T22:00-0800,music,1015 Folsom,37.7781117,-122.4058001
2022-01-01T04:00-0800,j-parties,Monarch,37.7809743,-122.4084128
2022-01-01T21:00-0800,music,Monarch,37.7809743,-122.4084128
2022-01-01T22:00-0800,music,Pure Night Club (Sunnyvale),37.37681680000001,-122.0298044
2022-01-01T21:00-0800,music,The New Parish,37.8078923,-122.2727873
2022-01-01T21:00-0800,music,Public Works,37.7688759,-122.4194268
2022-01-01T21:00-0800,music,F8sf,,
2022-01-01T23:00-0800,j-parties,The EndUp,37.7772436,-122.4037707
2022-01-01T22:00-0800,music,Temple,37.7879716,-122.3972152
2022-01-01T22:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-01T19:00-0800,medy,San Jose Improv,37.3356047,-121.8883856
2022-01-01T21:30-0800,medy,San Jose Improv,37.3356047,-121.8883856
2022-01-01T14:30-0800,xperiences,The Safeway Holiday Ice Rink in Union Square,,
2022-01-01T20:00-0800,medy,Milk Bar,37.7695082,-122.4525845
2022-01-01T14:00-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-01T10:30-0800,j-parties,SF Bay Area,,
2022-01-01T14:00-0800,music,The Bistro,,
2022-01-01T19:00-0800,music,Black Cat,37.783838,-122.4144901
2022-01-01T19:00-0800,he-arts,Museum of the African Diaspora (MOAD),37.786562,-122.401361
2022-01-01T20:00-0800,heatre-performing-arts,Alcazar Theatre,37.7867684,-122.4142125
2022-01-01T18:00-0800,music,Hopmonk Tavern - Sebastopol,38.4011362,-122.8226923
2022-01-01T17:00-0800,music,Smiley's Schooner Saloon,37.9101928,-122.6851436
2022-01-01T15:00-0800,heatre-performing-arts,Shelton Theater,37.78902490000001,-122.4091439
2022-01-01T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-01T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T18:00-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-01T20:00-0800,music,Twin Oaks Roadhouse,,
2022-01-01T20:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T20:40-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-01T21:00-0800,j-parties,Cat Club,37.77541739999999,-122.409985
2022-01-01T22:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-01T21:00-0800,music,The Valencia Room,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2021-12-31T17:00-0800,music,The Midway,37.7494472,-122.3860183
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2021-11-26T18:00-0800,xperiences,Plaza de Cesar Chavez,37.3327794,-121.8892745
2022-01-02T19:00-0800,music,Freight & Salvage,37.8706997,-122.2695537
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-02T15:00-0800,music,Freight & Salvage,37.8706997,-122.2695537
2022-01-02T19:30-0800,music,SFJAZZ Center,37.7764466,-122.4215079
2022-01-02T20:00-0800,music,The Regency Ballroom,37.7879104,-122.4215079
2022-01-02T21:00-0800,music,The Golden Bull,37.8042166,-122.2703319
2022-01-02T18:30-0800,music,Yoshi's Oakland,37.796237,-122.2785532
2022-01-02T22:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-02T19:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-02T16:00-0800,lgbtq,The Lone Star Saloon,37.77216749999999,-122.4108778
2022-01-02T13:15-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-02T16:00-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-02T16:05-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-02T17:00-0800,music,The Knockout,37.7451489,-122.4199626
2022-01-02T18:50-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-02T19:00-0800,film,Roxie Theater,37.7647103,-122.4224081
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-02T20:00-0800,music,Club Deluxe,37.76976860000001,-122.4471395
2022-01-02T23:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-02T15:00-0800,music,The Bistro,,
2022-01-02T19:00-0800,music,Felton Music Hall,,
2022-01-02T11:00-0800,he-arts,San Jose Museum of Art,37.3336747,-121.8900389
2022-01-02T13:00-0800,music,SAP Center,37.3322405,-121.9016508
2022-01-02T21:00-0800,music,Tupelo,37.7992702,-122.4075249
2022-01-02T15:00-0800,heatre-performing-arts,Shelton Theater,37.78902490000001,-122.4091439
2022-01-02T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T17:45-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-02T18:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-02T20:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T21:40-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-02T22:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T23:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-02T13:05-0800,iety,Levi's Stadium,37.402317,-121.9689954
2022-01-02T15:00-0800,music,Golden 1 Center,38.5802066,-121.4993496
2022-01-02T15:00-0800,music,Golden 1 Center,38.5802066,-121.4993496
2022-01-02T15:00-0800,utdoor-recreation,The Center SF,37.774623,-122.4308296
2022-01-02T15:00-0800,music,Winters Tavern,,
2022-01-02T21:00-0800,music,The Valencia Room,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-03T12:00-0800,music,Freight & Salvage,37.8706997,-122.2695537
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-03T20:00-0800,music,DNA Lounge,37.7711031,-122.4126145
2022-01-03T19:30-0800,music,Freight & Salvage,37.8706997,-122.2695537
2022-01-03T19:00-0800,music,Chase Center,37.7688295,-122.3894164
2022-01-03T19:30-0800,music,Yoshi's Oakland,37.796237,-122.2785532
2022-01-03T18:00-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-03T18:20-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-03T20:50-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-03T21:05-0800,film,Roxie Theater,37.7647103,-122.4224081
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-03T20:00-0800,music,Club Deluxe,37.76976860000001,-122.4471395
2022-01-03T21:00-0800,music,Tupelo,37.7992702,-122.4075249
2022-01-03T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-03T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-03T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T18:00-0800,ports,Event Center at SJSU,37.3350794,-121.8807548
2022-01-03T20:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T20:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-03T22:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T23:45-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-03T16:30-0800,lgbtq,The San Mateo County Pride Center,,
2022-01-03T18:00-0800,igital-events,SF LGBT Center,37.7716881,-122.4240297
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-04T20:00-0800,music,The Regency Ballroom,37.7879104,-122.4215079
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-04T20:00-0800,medy,Punch Line San Francisco,37.795486,-122.4001359
2022-01-04T19:30-0800,music,Yoshi's Oakland,37.796237,-122.2785532
2022-01-04T18:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-04T20:00-0800,music,Club Deluxe,37.76976860000001,-122.4471395
2022-01-04T21:30-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-04T18:00-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-04T18:10-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-04T20:45-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-04T20:50-0800,film,Roxie Theater,37.7647103,-122.4224081
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-04T12:00-0800,he-arts,Asian Art Museum,37.7801637,-122.4161985
2022-01-04T18:00-0800,music,Hopmonk Tavern - Sebastopol,38.4011362,-122.8226923
2022-01-04T19:00-0800,medy,PianoFight Oakland,,
2022-01-04T21:00-0800,music,Tupelo,37.7992702,-122.4075249
2022-01-04T10:00-0800,iety,Salesforce Park,,
2022-01-04T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-04T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-04T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T20:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T20:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-04T22:55-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T23:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-04T10:00-0800,iety,Salesforce Park,,
2022-01-04T17:30-0800,iety,Salesforce Park,,
2022-01-04T18:00-0800,lgbtq,The San Mateo County Pride Center,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
